scope,n,MAE,RMSE,mean_delta,median_abs,std_delta,within_0_2,within_0_3,within_0_4,within_0_5,within_0_6,max_abs
ALL,136,0.1275940394870287,0.18559029566466942,0.03753700147820062,0.08751297267729852,0.18175459104222094,108,120,130,132,135,0.8592829253448571
OLD45,45,0.1462633605910844,0.1950444971436215,0.03866399402076436,0.10821557345684951,0.19117387748426948,32,37,43,44,45,0.5003060304659073
01032026,4,0.19125916652902952,0.28287831884894565,-0.08080564816870184,0.11045351836032768,0.2710914799451317,3,3,3,3,4,0.529608984126213
06032026,15,0.10146737177990192,0.1308516262129095,0.027521505595568742,0.08782976138209087,0.12792464505448534,14,14,15,15,15,0.32972701336528676
09032026,6,0.06624095377796439,0.07519257800717842,0.0015014177522700105,0.06097537873404679,0.07517758663390825,6,6,6,6,6,0.12427630414891411
13022026,11,0.12682055447748922,0.1735317562659661,0.047928512706076655,0.08282782694874857,0.16678167795814416,8,9,11,11,11,0.3399857905715531
13032026,13,0.10125802119102367,0.1365520359315926,0.03606033041773124,0.06384651861302881,0.13170463578487662,12,12,13,13,13,0.37299338436001417
14012026,18,0.1697094860794533,0.19485725691430567,0.07183690928642895,0.15901167153505869,0.18113202101324075,12,15,18,18,18,0.37395337056303113
16012026,17,0.08567580663057445,0.10832502994183496,-0.012877592183572794,0.07407267994802247,0.10755686743045756,15,17,17,17,17,0.20367553447208842
18022026,9,0.10201660974186183,0.12886153359156877,-0.0622802147144885,0.1009958999690328,0.1128116558458753,7,9,9,9,9,0.2391209537710859
20022026,7,0.10733170261441671,0.15343463622730835,0.07750105541124899,0.07420886391293102,0.13242270954918933,6,6,7,7,7,0.36219021826356723
20032026,14,0.15790901440609514,0.23695294031719982,-0.0015692094037022145,0.03705873363925449,0.2369477442534826,8,10,12,13,14,0.5003060304659073
23012026,7,0.10787485274859852,0.11602468083650756,0.05442017691303391,0.10341886197670824,0.10247034160169242,7,7,7,7,7,0.17130905342300107
27022026,15,0.18735566606431037,0.30793986237071946,0.17302151372285693,0.05952292113905244,0.25473616670184246,10,12,12,13,14,0.8592829253448571
