scope,n,MAE,RMSE,mean_delta,median_abs,std_delta,within_0_2,within_0_3,within_0_4,within_0_5,within_0_6,max_abs
ALL,136,0.19335866761430937,0.24338573319151763,0.09933038391491182,0.148699364685295,0.22219381168810445,82,106,122,130,135,0.8592829253448571
OLD45,45,0.19504366338257434,0.24171659515895674,0.09950920551800645,0.17140274486935603,0.22028352274379068,26,34,40,43,45,0.5287908014883813
01032026,4,0.23560847926332618,0.30001202249832065,-0.13710342232227846,0.199152143828921,0.2668517664004715,2,3,3,3,4,0.529608984126213
06032026,15,0.17117619815856344,0.20672502806897863,0.06432892937320626,0.12613674056079693,0.19646125846033116,10,11,14,15,15,0.4042397562580886
09032026,6,0.16121201344875002,0.17446315099554177,0.09168254135875016,0.13665943601102715,0.14843080093193015,4,6,6,6,6,0.2557205043238753
13022026,11,0.2482045819592959,0.29399387077619665,0.18584388988028655,0.25405676668136756,0.22780352202750276,4,7,8,11,11,0.4775898224062898
13032026,13,0.14282891818167176,0.17584821751861582,0.13220155300158123,0.134654671038418,0.11595406413077779,11,12,12,13,13,0.4206721342347919
14012026,18,0.22494668611639634,0.2523655215814502,0.12964975394489253,0.22008596460289365,0.21651627602816886,8,13,17,17,18,0.5287908014883813
16012026,17,0.17684087658710038,0.2130842676280565,0.05216946052640052,0.13505383069083265,0.2065992558044911,11,13,17,17,17,0.3950570272232392
18022026,9,0.1683132057737376,0.18338539779534746,0.07833993568007624,0.13222490649980045,0.16581030909506006,5,9,9,9,9,0.2681595568811712
20022026,7,0.12742393042776876,0.16272116331226713,0.03644514666206928,0.09761974509390292,0.15858728913276052,6,6,7,7,7,0.36219021826356723
20032026,14,0.20508204041135566,0.27785233711094437,0.030399892020119137,0.1579677702404687,0.2761843004284982,7,9,11,13,14,0.500939083475552
23012026,7,0.1592332945416787,0.18624573480236667,0.11893494602497981,0.14104421980844606,0.14332463970339726,6,6,7,7,7,0.3634646162129087
27022026,15,0.2523000161948826,0.34542878712203295,0.22270125180628314,0.1380500708937964,0.26405529613418705,8,11,11,12,14,0.8592829253448571
